epsilon,sigma,f1_seed_42,f1_seed_123,f1_seed_456,f1_seed_789,f1_seed_1000,f1_seed_1542,f1_seed_9,f1_seed_342,f1_seed_691,f1_seed_2000,f1_mean,f1_std,acc_seed_42,acc_seed_123,acc_seed_456,acc_seed_789,acc_seed_1000,acc_seed_1542,acc_seed_9,acc_seed_342,acc_seed_691,acc_seed_2000,acc_mean,acc_std
inf,0.0000,55.4153,80.0000,61.2070,80.0000,75.6120,97.9631,60.9155,49.6535,60.3938,66.2716,68.7432,13.7490,94.4081,98.1280,96.0905,98.1161,96.7120,98.1661,96.1870,94.6031,97.9216,93.9111,96.4244,1.5808
80.0,0.0666,55.4153,83.1478,55.2819,80.0000,75.6120,97.9631,59.1429,49.6535,60.8688,66.2716,68.3357,14.5501,94.4081,98.1280,94.1740,98.1161,96.7120,98.1661,94.3538,94.6031,97.9216,93.9111,96.0494,1.8102
50.0,0.1066,55.4153,83.1478,60.0666,80.0000,57.4639,97.9631,58.8784,49.6535,44.0298,66.2716,65.2890,15.8979,94.4081,98.1280,94.1357,98.1161,95.1312,98.1661,94.3538,94.6031,96.0985,93.9111,95.7052,1.6920
20.0,0.2665,60.0972,83.1478,65.8089,80.0000,45.1406,64.0984,43.1165,44.8618,60.7101,66.2716,61.3253,13.2048,94.2992,98.1280,96.0521,98.1161,93.5504,92.6646,54.7571,90.0123,96.2443,93.9111,90.7735,12.2357
18.0,0.2961,60.0972,77.7778,60.3342,80.0000,42.8727,64.0984,63.3190,32.9692,60.7101,66.2716,60.8450,13.4190,94.2992,98.1280,94.1357,98.1161,91.9696,92.6646,98.0202,81.2511,96.2443,93.9111,93.8740,4.7284
16.0,0.3331,65.9854,77.7778,60.3342,80.0000,37.3489,64.0984,60.9155,24.7943,65.8290,48.9639,58.6047,16.3047,97.9303,98.1280,94.1357,98.1161,88.8081,92.6646,96.1870,63.6236,96.2443,93.7487,91.9586,9.8444
15.0,0.3553,65.9854,63.1478,60.3342,80.0000,37.3489,47.2622,60.9155,19.9723,65.8290,48.9639,54.9759,16.2098,97.9303,96.2561,94.1357,98.1161,88.8081,90.8307,96.1870,40.1086,96.2443,93.7487,89.2366,16.6185
13.0,0.4099,65.9854,63.1478,48.8380,80.0000,32.4479,30.4295,60.9155,12.4961,65.8290,49.2810,50.9370,19.4649,97.9303,96.2561,92.1426,98.1161,87.2273,88.9969,96.1870,14.0179,96.2443,93.7487,86.0867,24.2748
10.0,0.5329,48.6665,49.4556,56.3620,80.0000,32.4479,29.9221,19.5491,10.5527,48.0716,28.4208,40.3448,19.1683,90.6681,92.5122,94.1740,98.1161,87.2273,88.9969,42.3281,8.7612,80.8022,87.6598,77.1246,27.2092
5.0,1.0659,7.2718,16.1326,46.6120,44.1993,14.9912,26.4318,56.0430,4.7600,29.4542,37.8528,28.3749,16.6592,3.6311,65.7993,92.2192,88.4326,61.5397,85.3292,91.4940,9.8125,66.7821,87.6598,65.2700,31.2178
